# "Time","Car.CFL.Tire.FrcC.y","Car.CFR.Tire.FrcC.y","Car.CRL.Tire.FrcC.y","Car.CRR.Tire.FrcC.y","Car.SideSlipAngle","Car.SteerAngleFL","Car.SteerAngleFR","Car.YawRate","Car.ay","Car.v","Car.vx","Car.vy","Driver.Steer.Ang","Vhcl.FL.SideSlip","Vhcl.FR.SideSlip","Vhcl.PoI.ay","Vhcl.RL.SideSlip","Vhcl.RR.SideSlip"
# "C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
# "s","N","N","N","N","rad","rad","rad","rad/s","m/s^2","m/s","m/s","m/s","rad","rad","rad","m/s^2","rad","rad"
7.121,-112.2526627,112.2526703,-22.59756851,22.59757042,-2.628158108e-012,-0.001694242586,0.001694242586,-9.315319349e-012,6.981242806e-010,6.984753609,6.984392643,-1.689870466e-011,-3.289794554e-020,0.001766418223,-0.001766418223,-6.082128579e-009,0.001359224902,-0.001359225018
7.131,-112.3140945,112.3140945,-22.59141731,22.59141731,-1.561713757e-012,-0.001694715931,0.001694715931,-9.263409484e-012,6.651124651e-010,6.984349728,6.983989239,-9.471069762e-012,-2.950981376e-020,0.001767024281,-0.001767024281,-6.034502675e-009,0.00135919638,-0.00135919638
7.141,-112.3738937,112.3738937,-22.58619308,22.58619308,-5.449474422e-013,-0.001695177518,0.001695177518,-9.161706983e-012,6.29929664e-010,6.983950615,6.983590126,-2.398393983e-012,-2.612168197e-020,0.001767614158,-0.001767614158,-5.990196783e-009,0.001359181595,-0.001359181595
7.151,-112.4320984,112.4320984,-22.58190346,22.58190536,4.188149935e-013,-0.001695627696,0.001695627696,-9.013586752e-012,5.928977309e-010,6.983556271,6.983196259,4.296737011e-012,-2.358058312e-020,0.001768188085,-0.001768188085,-5.948862736e-009,0.001359180547,-0.001359180547
7.161,-112.4887466,112.4887466,-22.57855034,22.57855034,1.358820825e-012,-0.001696066931,0.001696066931,-8.775715397e-012,5.786844892e-010,6.983166695,6.982806683,1.08194894e-011,-2.103948428e-020,0.00176874653,-0.00176874653,-5.887534016e-009,0.001359193469,-0.001359193469
7.171,-112.543869,112.543869,-22.5761261,22.5761261,2.241309135e-012,-0.001696495339,0.001696495339,-8.502975234e-012,5.367132849e-010,6.98278141,6.982422352,1.693431159e-011,-1.849838544e-020,0.00176928984,-0.00176928984,-5.853163287e-009,0.001359220012,-0.001359220012
7.181,-112.597496,112.597496,-22.57461739,22.57461929,3.060087557e-012,-0.001696913503,0.001696913503,-8.200443796e-012,4.939655907e-010,6.982400894,6.982041836,2.259859661e-011,-1.849838544e-020,0.001769818249,-0.001769818249,-5.820605775e-009,0.001359260175,-0.001359260175
7.191,-112.6496811,112.6496811,-22.57400894,22.57400894,3.814188982e-012,-0.001697321772,0.001697321772,-7.871734514e-012,4.510094798e-010,6.98202467,6.981666088,2.780623821e-011,-1.680431955e-020,0.001770332223,-0.001770332223,-5.789292601e-009,0.00135931361,-0.00135931361
7.201,-112.7004471,112.7004471,-22.57427406,22.57427597,4.503337807e-012,-0.001697720494,0.001697720494,-7.519661109e-012,4.081463223e-010,6.981653214,6.981295109,3.255596487e-011,-1.511025365e-020,0.001770832227,-0.001770832227,-5.758922672e-009,0.001359379967,-0.001359379967
7.211,-112.7498398,112.7498398,-22.57538986,22.57538986,5.127555932e-012,-0.001698109903,0.001698109903,-7.146865565e-012,3.6540862e-010,6.981286049,6.980927944,3.684857627e-011,-1.341618776e-020,0.001771318493,-0.001771318493,-5.729444919e-009,0.00135945878,-0.00135945878
7.221,-112.797905,112.797905,-22.57732201,22.57732201,5.68705456e-012,-0.001698490465,0.001698490465,-6.755582205e-012,3.230444801e-010,6.980922699,6.980565071,4.068619747e-011,-1.172212186e-020,0.001771791489,-0.001771791489,-5.700619976e-009,0.001359549584,-0.001359549584
7.231,-112.8446732,112.8446732,-22.58003426,22.58003426,6.182247856e-012,-0.001698862528,0.001698862528,-6.348562735e-012,2.81096757e-010,6.980564117,6.980206966,4.407234647e-011,-1.087508892e-020,0.001772251679,-0.001772251679,-5.672373682e-009,0.001359651797,-0.001359651797
7.241,-112.8901901,112.8901901,-22.58349228,22.58349228,6.613801954e-012,-0.001699226326,0.001699226326,-5.928280002e-012,2.398352628e-010,6.980209351,6.9798522,4.701228296e-011,-1.002805597e-020,0.001772699412,-0.001772699412,-5.644430701e-009,0.001359764836,-0.001359764836
7.251,-112.934494,112.934494,-22.5876503,22.5876503,6.982661411e-012,-0.001699582324,0.001699582324,-5.497424564e-012,1.993783472e-010,6.979858875,6.979502201,4.951318522e-011,-1.087508892e-020,0.001773135155,-0.001773135155,-5.616653809e-009,0.001359888003,-0.001359888003
7.261,-112.9776382,112.9776382,-22.59246826,22.59246826,7.290060049e-012,-0.001699930639,0.001699930639,-5.058657486e-012,1.599387012e-010,6.979512215,6.979156017,5.158422647e-011,-1.002805597e-020,0.001773559372,-0.001773559372,-5.588808971e-009,0.001360020717,-0.001360020717
7.271,-113.0196457,113.0196457,-22.59789848,22.59789848,7.537518353e-012,-0.001700271736,0.001700271736,-4.614604272e-012,1.217127094e-010,6.979169846,6.978813648,5.323655405e-011,-9.181023022e-021,0.001773972297,-0.001773972297,-5.560681693e-009,0.001360162278,-0.001360162278
7.281,-113.0605698,113.0605698,-22.60389709,22.60389709,7.726823521e-012,-0.001700605964,0.001700605964,-4.167933793e-012,8.480992297e-011,6.978830814,6.978475094,5.448314369e-011,-6.639924584e-021,0.001774374512,-0.001774374512,-5.532154734e-009,0.001360311871,-0.001360311871
